SMILES,SPLIT
N#CC(=Cc1ccc(O)cc1)C(=N)C(C#N)C#N,train
COc1cc(C=C(C#N)C(=N)C(C#N)C#N)cc(O)c1O,train
N#CC(=Cc1cc(O)c(O)c(O)c1)C(=N)C(C#N)C#N,train
COc1ccc2cncnc2c1,train
COc1ccc(C=C(C#N)c2cccnc2)cc1OC,train
CN(C)c1ccc2cncnc2c1,train
O=C(Nc1ccc(Br)cc1)c1ccc(N(CCCl)CCCl)cc1,train
O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,train
Nc1ccc2cncnc2c1,train
N#CC(=Cc1cc(O)c(O)c(Br)c1)C(=N)C(C#N)C#N,train
CNc1ccc2ncncc2c1,train
CNc1ccc2cncnc2c1,train
Cc1ccc(Br)c2c(C#N)cc(C(=O)C3CC3)n12,train
N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,test
COc1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,test
CCOc1cc2ncc(C#N)c(Nc3ccc(OCCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
c1ccc(CNc2ncnc3c2sc2ccccc23)cc1,train
O=C(O)C=Cc1cc(CO)ccc1CO,train
CSCc1cc(C=C2C(=O)Nc3ccccc32)cc(CSC)c1O,train
COCOC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
COCCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
CCOC(=O)C(=O)Oc1ccc(-c2c(C(=O)OCC)oc3cc(O)cc(O)c3c2=O)cc1,test
CCCc1c(C(=O)OCC)cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c12,train
C#Cc1cc(Nc2ncnc3cc(OC)c(OCCCCCCC(O)=NO)cc23)ccc1F,train
Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,train
N#CC(=Cc1ccc(O)c(O)c1)S(=O)(=O)C(C#N)=Cc1ccc(O)c(O)c1,train
N#CC(=Cc1cc(O)c(O)c(O)c1)C(=O)NCCCCNC(=O)C(C#N)=Cc1cc(O)c(O)c(O)c1,test
COc1cc2ncnc(NC(C)c3ccccc3)c2cc1OCCCCCCC(O)=NO,train
COc1cc2ncnc(NC(C)c3ccc(Cl)cc3)c2cc1OCCCCCCC(O)=NO,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCC4CCCCC4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOc1cc(N)c(C(=O)Nc2ccc(OCc3ccccn3)c(Cl)c2)cc1NC(=O)C=CCN(C)C,train
CCN(CC)C(C)(C#Cc1ncnc2cc(OC)c(OC)cc12)Cc1ccncc1,train
CCN(CC)C(C)(C#Cc1ncnc2cc(OC)c(OC)cc12)Cc1ccncc1,train
Cc1cccc(Nc2cc(NCCO)ncn2)c1,train
CC(C)c1cc(C=C(C#N)C(N)=O)cc(C(C)C)c1O,train
NC1CCc2c(c3cc(OCCc4ccc(O)cc4)ccc3n2CCCCCc2ccccc2)C1,train
N#CC(C#N)C1=c2cc(O)c(O)cc2=CC1,train
COCOCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
COCCn1cc(-c2ccncn2)c(-c2ccc(Cl)cc2)n1,train
COc1ccc(CNc2ccnc3oc4ccccc4c23)cc1,train
COc1cc2ncnc(NCc3ccc(Cl)c(F)c3)c2cc1OCCCCCCC(O)=NO,train
COc1cc2ncc(C#N)c(Nc3ccc(Sc4nccs4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
COc1cc2ncc(C#N)c(NC3CC3c3ccccc3)c2cc1OCCCc1cccnc1,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4nccn4C)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,train
CCN(CC)CCOc1ccc(C=C2C(=O)Nc3ccc(Cl)cc32)cc1,train
CCN(CC)C(C)(CCc1ncnc2cc(OC)c(OC)cc12)Cc1ccccc1,train
Cc1nc2ccccc2nc(=O)c1NNc1ccccc1,train
Cc1ccc2nc(Oc3ccc(F)cc3)c(C=NNC(=O)Cn3c([N+](=O)[O-])cnc3C)cc2c1,train
O=C1C(=O)C(c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,train
COCC#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,train
COc1cc2ncnc(NCc3ccc(F)cc3)c2cc1OCCCCCCC(O)=NO,train
COc1cc2ncc(C#N)c(Nc3cccc(Br)c3C)c2cc1OC,train
COc1cc2ncc(C#N)c(Nc3ccc(Sc4ncc(-c5ccccc5)s4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
COc1cc(Nc2ncc([N+](=O)[O-])c(Nc3ccccc3C(N)=O)n2)cc(OC)c1OC,train
COc1cc(C=C(C#N)C(N)=O)cc(CSc2ccccc2)c1O,train
COC(=O)c1ccc2c(c1)S(=O)(=O)N=S2c1ccc(Br)cc1,train
CN(C)CCn1cnc(-c2ccc(F)cc2)c1-c1ccc2[nH]ncc2c1,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)CCN1CCCCC1,train
CCOC(=O)c1cn2ncnc(Nc3ccc(F)c(Cl)c3)c2c1CC,train
CCOC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,train
CCN(CC)C(C)(C#Cc1ncnc2cc(OC)c(OC)cc12)Cc1ccccc1,train
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C#CCCCN1CCOCC1,train
Cc1cccc(Nc2ncnc3cc(NCCCCN(C)C)ncc23)c1,train
Cc1ccc2c(c1)=NCC(=NNc1ccccc1)C(=O)N=2,train
Cc1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,test
CC(COC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O)CC(C)(C)C,train
C#Cc1cccc(Nc2ncnn3ccc(COCC4CNCCO4)c23)c1,train
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCC(O)=NO)cc23)c1,train
C#Cc1cccc(Nc2ccnc3cc(OCCOC)c(OCCOC)cc23)c1,test
Oc1csc(NN=Cc2cc(Cl)ccc2O)n1,train
Oc1cccc(Nc2ncnc3scc(Cl)c23)c1,train
Oc1ccc(Nc2ncnc3scc(Cl)c23)cc1,train
O=C(NCCCc1ccccc1)c1cc(NCc2cc(O)ccc2O)ccc1O,train
Fc1ccc(Nc2ncnn3cccc23)cc1Cl,train
COCC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
COc1ccc(N(c2nc(C)nc3oc(C)cc23)C(C)C)cc1,train
COc1cc2ncnc(Sc3cccc(Cl)c3)c2cc1OC,train
COc1cc2ncnc(NCc3ccccc3)c2cc1OCCCCCCC(O)=NO,train
COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)C#CCN(C)C,train
CN(C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,train
CN(C)CCC(=O)c1ccc(OCc2ccccc2)c(O)c1,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccs4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccn4)c(Cl)c3)c2cc1NC(=O)CCN(C)C,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(C#N)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OC(C)c4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCCCCOc1ccc(Nc2c(C#N)cnc3cc(OCC)c(NC(=O)C=CCN(C)C)cc23)cc1Cl,train
CCCCCCNC(=O)c1cc(NCc2cc(O)ccc2O)ccc1O,train
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C=NOCCN1CCOCC1,train
Cc1ncc([N+](=O)[O-])n1CC(=NNC(=O)c1ccc(O)cc1)c1ccc(Br)cc1,train
Cc1ncc([N+](=O)[O-])n1CC(=NNC(=O)c1ccc(N)cc1)c1ccc(Br)cc1,train
Cc1cc2c(Nc3ccc(F)c(Cl)c3)ncnn2c1,train
Nc1ccc(-c2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,train
COCC(=O)Nc1ccc2ncnc(Nc3cc(Cl)c(Cl)cc3F)c2c1,train
COc1ccc2ncnc(Nc3ccccc3)c2c1,train
COc1ccc2ncnc(Nc3cc(OC)c(OC)c(OC)c3)c2c1,train
COc1cc2ncnc(NC3CC3c3ccccc3)c2cc1OCCCN(C)C,train
COc1cc2ncc(C#N)c(Nc3ccc(Sc4nccn4C)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CN1CCN(N=Cc2c(N)ncnc2Nc2ccc3c(cnn3Cc3cccc(F)c3)c2)CC1,train
CN(C)CC=CC(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)CCOC,train
CCOc1cc2ncc(C#N)c(Nc3ccc(Oc4ccncc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOC(=O)C1CCN(CCC(=O)c2ccc(OCc3ccccc3)cc2)CC1,train
CCN(CC)CCCCNc1ncc2cc(-c3c(Cl)cccc3Cl)c(NC(=O)NC(C)(C)C)nc2n1,train
Cc1ncnc(Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)c1C=C(F)C(=O)NCCN1CCOCC1,train
Cc1[nH]c2ncnc(Nc3cccc(Br)c3)c2c1C,train
C=CCN(C)CC#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,train
C=CC(=O)Nc1cc2c(Cc3ccc(F)c(Cl)c3)ncnc2cc1OCCOCCCCO,train
C=CC(=O)NC1=CC=C2N=CN=C(Nc3cccc(C)c3)C21,train
C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1,train
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCC=S(=C)(O)O)cc23)c1,train
Brc1cccc(Oc2ncnc3ccccc23)c1,train
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,train
Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,train
O=NN(CCCl)C(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,train
O=C(NCCCl)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,test
O=C(CCBr)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,train
Nc1ccc2c(Nc3ccccc3)ncnc2c1,train
N#Cc1cnc2ccc(NC(=O)C#CCN(C3CC3)C3CC3)cc2c1Nc1cccc(Br)c1,train
N#CC(=Cc1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1)C(N)=O,train
COCC(=O)Nc1ccc2ncnc(Nc3cccc(I)c3)c2c1,train
COc1cc2ncnc(C#CCOc3ccccc3)c2cc1OC,train
COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)C=CCN(C)C,train
COc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CNc1cc2c(Nc3ccccc3)ncnc2cn1,train
CN(C)CC=CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
CN(C)C=CCC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3F)c2c1,train
CN(C)C=CCC(=O)Nc1ccc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,train
CCS(=O)(=O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccco4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccc(Cl)cc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOc1cc2ncc(C#N)c(Nc3ccc(N(C)Cc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOc1cc2ncc(C#N)c(Nc3ccc(Cn4ccnc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOC(=O)c1cn2ncnc(Nc3ccc4n[nH]cc4c3)c2c1CC,train
CCN1CCN(CCCC#Cc2c(C)ncnc2Nc2ccc(OCc3cccc(F)c3)c(Cl)c2)CC1,train
CCCN(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)CCC,train
Cc1[nH]c2ncnc(Nc3cc(Cl)cc(Cl)c3)c2c1C,train
CC(C)N(CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1)C(C)C,train
CC(C)c1ccc(NC(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,train
C=CC(=O)NC1=CC=C2N=CN=C(Nc3ccc(Oc4ccccc4)cc3)C21,train
Brc1cccc(Nc2ncnc3cnc(NCCc4c[nH]cn4)nc23)c1,train
Oc1csc(NN=Cc2cc(F)ccc2O)n1,test
Oc1ccc(CN(Cc2cccc(Cl)c2O)C(=S)Nc2ccccc2)cc1,train
Oc1ccc(CN(Cc2cccc(Br)c2O)C(=S)Nc2ccccc2)cc1,train
NC1CCN(Cc2ccn3ncnc(Nc4cccc(Cl)c4)c23)CC1,test
Ic1cccc(Nc2ncnc3ccccc23)c1,train
COCC1CCCN1CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
COc1cccc2sc3c(Nc4cccc(Br)c4)ncnc3c12,train
COc1ccc(C2CC(c3ccc(C)c(C)c3)=NN2C(N)=S)cc1,train
COc1cc2ncnc(Oc3cccc(Cl)c3)c2cc1OC,train
COc1cc2ncnc(C#CC(C)(O)Cc3ccccc3)c2cc1OC,train
COc1cc2ncc(C#N)c(Nc3ccc(Sc4ncccn4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
COc1cc2c(Oc3ccc(NS(=O)(=O)c4cccc(-c5ccsc5)c4)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,train
COc1cc2c(cc1OC)Oc1ncnc(Oc3cccc(Br)c3)c1NC2,train
COc1cc2c(cc1Nc1nc(Nc3ccsc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2,train
COc1cc(C=C(C#N)C(N)=O)cc(Sc2nc3ccccc3s2)c1O,train
COc1cc(C=C(C#N)C(N)=O)cc(CSCc2ccccc2Cl)c1O,train
COc1cc(C=C(C#N)C(N)=O)cc(CSCc2ccccc2)c1O,train
COc1cc(C=C(C#N)C(N)=O)cc(CSc2ccccc2C(=O)O)c1O,train
COC(=O)COCc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,train
CN1CCN(CCOc2n[nH]c3ncnc(Nc4ccc(OCc5ccccn5)c(Cl)c4)c23)CC1,train
CN(CCO)Cc1ccn2ncnc(Nc3ccc4c(cnn4Cc4cccc(F)c4)c3)c12,train
CN(C)CCCC(=O)Nc1ccc2nccc(Nc3cccc(Br)c3)c2c1,train
Clc1ccc2c(c1Nc1ncnc3cc(OCCCN4CCCC4)cc(OC4CCOCC4)c13)OCO2,train
CCOCc1cn2ncnc(Nc3ccc4c(cnn4Cc4ccccc4)c3)c2c1CC,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)CCO,train
CCOc1cc2ncc(C#N)c(Nc3ccc(OCc4cccc(Cl)c4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
CCOC(=O)c1cn2ncnc(NCc3ccccc3)c2c1CC,train
CCN(CC)CC=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,train
Cc1cc2cc(Nc3ccnc4cc(-c5ccc(CNCCOCCO)cc5)sc34)ccc2[nH]1,train
CC(C)c1ccc(COC(=O)c2cc(NCc3cc(O)ccc3O)ccc2O)cc1,train
CC(C)(C)c1ccc(C(=O)CCCN2CCC(OC(c3ccccc3)c3ccccc3)CC2)cc1,train
CC#CC(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
c1ccc(Nc2ncnc3ccccc23)cc1,train
c1ccc(CNc2ncnc3ccccc23)cc1,train
C=CS(=O)(=O)N1CCc2c(sc3ncnc(NC(CO)c4ccccc4)c23)C1,train
C=CC(=O)Nc1cnc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,train
C=CC(=O)Nc1ccc2ncnc(Cc3ccc(CN(C)C)c(Br)c3)c2c1,train
C=CC(=O)Nc1cc2c(Nc3cccc(Br)c3)c(C#N)cnc2cc1OC,train
C=CC(=O)C(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,train
C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,train
C#Cc1cccc(Nc2ncnc3ccc(OCCCCNCCS(C)(=O)=O)cc23)c1,train
OCCN(CCO)Cc1cnc2cc3[nH]cnc(Nc4cccc(Br)c4)c3cc12,train
Oc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,train
Oc1cc(O)c2c(O)c(-c3cccc(Cl)c3)cnc2c1,test
O=C(NS(=O)(=O)c1ccc(Cl)cc1)c1cncc(Br)c1,train
O=C(CN1CCN(CCO)CC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,train
O=C(CCI)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,train
Nc1ncnc2c1c(-c1ccccc1)cn2-c1ccc(CO)cc1,train
Nc1ncnc2c1c(-c1ccc(Br)c(O)c1)nn2C1CCC1,train
NC1CCN(Cc2ccn3ncnc(Nc4cccc(Br)c4)c23)CC1,train
NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cnccn5)c(Cl)c4)c23)CC1,test
Nc1cc2ncnc(Nc3ccccc3)c2cn1,train
N#Cc1cnc2ccc(NC(=O)C#CCN3CCSCC3)cc2c1Nc1cccc(Br)c1,test
N#Cc1c(N)ncnc1Nc1ccc(OCc2ccccc2)c(Cl)c1,train
CS(=O)(=O)N(Cc1ccc2nc(O)c3cccn3c2c1)C1CC1,train
CS(=O)(=O)CCNCCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,train
COc1ccc2c(NCc3ccccc3)ncnc2c1,train
COc1ccc(Nc2ncnn3ccc(CN4CCC(N)CC4)c23)cc1Cl,train
COc1cc2ncc(C#N)c(Nc3ccc(NCNc4ccccc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,test
COc1cc2ncc(C#N)c(Nc3ccc(NCc4cccnc4)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C,train
